Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Solve Problems,                    ,                     ,                      ,                       ,                        ,                         ,                          ,                           ,                            ,                             ,                              ,                               ,                                ,                                 ,                                  ,                                   ,                                    
,2014,,,,Year of 2014,,37,53,70%,3.89,3.97,,,,,,,,,,,,,,,,,
Spring,2014,JEANNE VANBRIESEN,ABET-CEE,12-231,SOLID MECHANICS,A,37,53,70%,3.89,3.97,,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Ability to design,3: ABET: Solve Problems,,,,,,,,,,,,,,,,
,2014,,,,Year of 2014,,46,76,61%,4.15,4.19,4.19,,,,,,,,,,,,,,,,
Spring,2014,JEANNE VANBRIESEN,ABET-CEE,12-232,SOLID MECHANICS LAB,A,24,37,65%,3.88,3.96,4.04,,,,,,,,,,,,,,,,
Spring,2014,JEANNE VANBRIESEN,ABET-CEE,12-358,MATERIALS LAB,A4,22,39,56%,4.45,4.45,4.36,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Solve Problems,3: ABET: Use skills,,,,,,,,,,,,,,,,
,2014,,,,Year of 2014,,20,37,54%,3.8,3.95,4.05,,,,,,,,,,,,,,,,
Spring,2014,JEANNE VANBRIESEN,ABET-CEE,12-271,INT CM AP CV ENV ENG,A,20,37,54%,3.80,3.95,4.05,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Solve Problems,3: ABET: Ethical responsibility,"4: ABET: Global, etc. contexts",5: ABET: Life-long learning,6: ABET: Knowledge Contemporary Issues,,,,,,,,,,,,,
,2014,,,,Year of 2014,,18,32,56%,4.61,4.67,4.22,4.67,4.39,4.5,,,,,,,,,,,,,
Spring,2014,JEANNE VANBRIESEN,ABET-CEE,12-351,ENVRMNTL ENGINEERING,A,18,32,56%,4.61,4.67,4.22,4.67,4.39,4.50,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Ability to design,3: ABET: Solve Problems,4: ABET: Ethical responsibility,5: ABET: Effective Communication,"6: ABET: Global, etc. contexts",7: ABET: Knowledge Contemporary Issues,,,,,,,,,,,,
,2014,,,,Year of 2014,,18,32,56%,4.16,4.39,4.28,3.72,4.06,3.89,3.83,,,,,,,,,,,,
Spring,2014,JEANNE VANBRIESEN,ABET-CEE,12-352,ENVMNTL ENGRNG LAB,A,11,20,55%,4.27,4.64,4.55,4.00,4.18,4.18,4.09,,,,,,,,,,,,
Spring,2014,JEANNE VANBRIESEN,ABET-CEE,12-352,ENVMNTL ENGRNG LAB,B,7,12,58%,4.00,4.00,3.86,3.29,3.86,3.43,3.43,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,,,,,,,,,,,,,,,,,,
,2013,,,,Year of 2013,,21,37,57%,3.9,,,,,,,,,,,,,,,,,,
Fall,2013,Joy Cavaliero,ABET-CEE,F13-12-212,STATICS,A,21,37,57%,3.90,,,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Solve Problems,,,,,,,,,,,,,,,,,
,2013,,,,Year of 2013,,63,168,38%,4.44,4.42,,,,,,,,,,,,,,,,,
Spring,2013,Joy Cavaliero,ABET-CEE,12-231,SOLID MECHANICS,A,19,57,33%,4.50,4.44,,,,,,,,,,,,,,,,,
Fall,2013,Joy Cavaliero,ABET-CEE,F13-12-335,SOIL MECHANICS,A,25,60,42%,4.32,4.28,,,,,,,,,,,,,,,,,
Fall,2013,Joy Cavaliero,ABET-CEE,F13-12-355,FLUID MECHANICS,A,19,51,37%,4.53,4.58,,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Ability to design,3: ABET: Solve Problems,,,,,,,,,,,,,,,,
,2013,,,,Year of 2013,,53,174,30%,4.26,4.19,4.28,,,,,,,,,,,,,,,,
Spring,2013,Joy Cavaliero,ABET-CEE,12-232,SOLID MECHANICS LAB,A,13,47,28%,4.00,4.00,4.08,,,,,,,,,,,,,,,,
Spring,2013,Joy Cavaliero,ABET-CEE,12-358,MATERIALS LAB,A4,14,50,28%,4.21,4.29,4.29,,,,,,,,,,,,,,,,
Fall,2013,Joy Cavaliero,ABET-CEE,F13-12-336,SOIL MECHANICS LABTY,A,12,40,30%,4.33,4.42,4.58,,,,,,,,,,,,,,,,
Fall,2013,Joy Cavaliero,ABET-CEE,F13-12-356,FLUID MECHANICS LAB,A,14,37,38%,4.50,4.07,4.21,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Solve Problems,3: ABET: Use skills,,,,,,,,,,,,,,,,
,2013,,,,Year of 2013,,11,44,25%,3.36,3.91,3.9,,,,,,,,,,,,,,,,
Spring,2013,Joy Cavaliero,ABET-CEE,12-271,INT CM AP CV ENV ENG,A,11,44,25%,3.36,3.91,3.90,,,,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Realistic Constraints,3: ABET: Function on Teams,4: ABET: Solve Problems,5: ABET: Knowledge Contemporary Issues,6: ABET: Use skills,,,,,,,,,,,,,
,2013,,,,Year of 2013,,38,81,47%,3.41,3.34,3.59,3.53,3.86,3.63,,,,,,,,,,,,,
Fall,2013,Joy Cavaliero,ABET-CEE,F13-12-411,PRJ MANGMT CONSTRCTN,A,38,81,47%,3.41,3.34,3.59,3.53,3.86,3.63,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Solve Problems,3: ABET: Ethical responsibility,"4: ABET: Global, etc. contexts",5: ABET: Life-long learning,6: ABET: Knowledge Contemporary Issues,,,,,,,,,,,,,
,2013,,,,Year of 2013,,11,43,26%,4.27,4.27,4,4.36,4.36,4.45,,,,,,,,,,,,,
Spring,2013,Joy Cavaliero,ABET-CEE,12-351,ENVRMNTL ENGINEERING,A,11,43,26%,4.27,4.27,4.00,4.36,4.36,4.45,,,,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Realistic Constraints,3: ABET: Function on Teams,4: ABET: Solve Problems,5: ABET: Ethical responsibility,6: ABET: Effective Communication,7: ABET: Life-long learning,,,,,,,,,,,,
,2013,,,,Year of 2013,,26,60,43%,4.2,3.92,3.88,3.96,3.88,3.52,3.88,,,,,,,,,,,,
Fall,2013,Joy Cavaliero,ABET-CEE,F13-12-100,INTRO CIV & ENV ENG,A,26,60,43%,4.20,3.92,3.88,3.96,3.88,3.52,3.88,,,,,,,,,,,,
