Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,1 : Project 1. Draw on Skills,2: Interest in student learning,3: Explain course requirements,3 : Project 2. Develop skills,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,6 : Project 3. Demand on Time and Attn,7: Project 4. External Review Committee helpfulness,7 : Explains subject matter,8: Show respect for students,8 : Project 5. Faculty Mgmt Satisfaction,9: Project 6. Group Worked Smoothly,9 : Overall teaching,10: Overall course,10 : Project 7. Effective learning experience,11: Project 8. Project Size,12: Project 9. General Rating,14: Proj Instr 1. Motivation,15: Proj Instr 2. Guidance,16: Proj Instr 3. Knows next steps,17: Proj Instr 4. Instructor availability,18: Proj Instr 5. Overall Lead Effectiveness
,2017,,,,Year of 2017,,891,1218,73%,10.75,4.5,4.16,4.1,4.31,4.14,3.93,4.18,4.13,3.89,4.09,4.45,4.5,4.5,4.05,3.98,4.31,3.31,4.62,4.44,4.16,4.5,4.44,4.41
Summer,2017,DAVID LASSMAN,HC,94700,ORGNZTNL DSGN & IMPL,A5,37,41,90%,8.42,,4.78,4.81,,4.81,4.46,4.76,,,4.76,4.70,,,4.84,4.65,,,,,,,,
Summer,2017,DAVID LASSMAN,HC,94700,ORGNZTNL DSGN & IMPL,B5,33,36,92%,8.10,,4.79,4.73,,4.56,4.33,4.76,,,4.70,4.76,,,4.73,4.64,,,,,,,,
Summer,2017,BETH WALTER,HC,94702,PROFESSIONAL WRITING,A6,17,18,94%,10.13,,3.82,3.65,,3.53,3.94,3.71,,,3.41,4.25,,,3.53,3.18,,,,,,,,
Summer,2017,BETH WALTER,HC,94702,PROFESSIONAL WRITING,B6,16,21,76%,8.75,,3.88,3.56,,3.81,3.75,3.81,,,3.75,4.25,,,3.50,3.31,,,,,,,,
Summer,2017,BETH WALTER,HC,94702,PROFESSIONAL WRITING,C6,13,17,76%,10.50,,3.92,4.00,,4.15,4.00,3.92,,,3.92,4.23,,,4.15,4.08,,,,,,,,
Summer,2017,BETH WALTER,HC,94702,PROFESSIONAL WRITING,D6,14,19,74%,9.83,,4.00,4.14,,4.07,4.43,4.07,,,4.21,4.57,,,3.93,3.50,,,,,,,,
Summer,2017,KIM HYATT,HC,94702,PROFESSIONAL WRITING,Z5,8,13,62%,5.86,,4.88,4.88,,4.63,4.88,4.63,,,4.50,4.75,,,4.75,4.57,,,,,,,,
Summer,2017,MARILYN BODYCOAT,HC,94718,STRATG PRESENTN SKLS,K5,7,8,88%,11.14,,5.00,4.43,,5.00,5.00,4.86,,,4.71,5.00,,,5.00,5.00,,,,,,,,
Summer,2017,JARED SIMMER,HC,94800,NEGOTIATION,A6,24,31,77%,7.88,,4.54,4.42,,4.58,3.83,4.71,,,4.58,4.38,,,4.46,4.42,,,,,,,,
