Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2017,,,,Year of 2017,,249,430,58%,14.73,4.59,4.5,4.48,4.27,4.59,4.48,4.68,4.45,4.38
Summer,2017,BECKI CAMPANARO,BSC,03121,MODERN BIOLOGY,E,7,7,100%,14.00,4.57,4.71,4.57,4.43,4.57,4.71,4.86,4.71,4.71
Summer,2017,BECKI CAMPANARO,BSC,03121,MODERN BIOLOGY,U,13,14,93%,10.25,4.38,4.38,4.38,4.31,4.62,4.46,4.77,4.15,4.15
Summer,2017,CARRIE DOONAN,BSC,03124,MODERN BIOLOGY LAB,E,4,4,100%,11.75,5.00,4.50,5.00,4.75,5.00,5.00,5.00,5.00,5.00
Summer,2017,CARRIE DOONAN,BSC,03124,MODERN BIOLOGY LAB,U,1,4,25%,11.00,5.00,3.00,4.00,3.00,5.00,5.00,5.00,5.00,4.00
Summer,2017,DANIEL BRASIER,BSC,03133,NEURO OF DISEASE,E,14,15,93%,14.43,4.93,4.93,4.93,4.93,4.86,4.93,4.93,4.93,5.00
Summer,2017,DANIEL BRASIER,BSC,03133,NEURO OF DISEASE,U,4,5,80%,15.00,5.00,5.00,5.00,4.75,5.00,4.50,5.00,4.75,4.50
Summer,2017,CAROLYN NEIDERLANDER,CMY,09101,INTRO EXPERMNTL CHEM,E,3,4,75%,12.00,4.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,CAROLYN NEIDERLANDER,CMY,09101,INTRO EXPERMNTL CHEM,U,1,4,25%,8.00,5.00,4.00,4.00,5.00,4.00,5.00,5.00,4.00,4.00
Summer,2017,CHARLES HENDERSON,CMY,09105,INTRO MOD CHEMSTRY I,E,11,14,79%,15.73,4.73,4.64,4.55,4.55,4.73,4.09,4.82,4.45,4.45
Summer,2017,GIZELLE SHERWOOD,CMY,09105,INTRO MOD CHEMSTRY I,S,13,17,76%,13.92,4.77,4.85,4.69,4.77,4.46,4.77,4.69,4.62,4.46
Summer,2017,CHARLES HENDERSON,CMY,09105,INTRO MOD CHEMSTRY I,U,3,4,75%,10.00,5.00,4.33,4.33,4.33,5.00,4.33,5.00,4.33,4.33
Summer,2017,GLORIA SILVA,CMY,09217,ORGANIC CHEMISTRY I,S,9,16,56%,13.78,4.89,5.00,5.00,5.00,5.00,4.89,5.00,4.89,4.89
Summer,2017,GREGORY JOHNSON,MSC,21105,PRE-CALCULUS,H,13,33,39%,9.62,4.08,4.00,4.00,3.77,4.15,3.77,4.23,4.08,4.08
Summer,2017,KERREK STINSON,MSC,21120,DIFFERENTIAL INT CAL,U,2,10,20%,6.50,3.00,4.00,3.50,3.00,4.50,4.00,4.50,3.50,3.50
Summer,2017,TIMOTHY FLAHERTY,MSC,21122,INTEGRTN & APPROX,S,7,20,35%,11.00,4.00,4.29,4.43,4.00,4.43,4.29,4.14,4.00,4.14
Summer,2017,IRINA GHEORGHICIUC,MSC,21127,CONCEPTS OF MATHMTCS,S,19,43,44%,14.89,4.63,4.84,4.89,4.53,4.72,4.74,4.42,4.68,4.74
Summer,2017,CHRISTOPHER COX,MSC,21127,CONCEPTS OF MATHMTCS,U,13,31,42%,15.92,4.85,5.00,4.85,4.54,4.77,5.00,4.92,4.85,4.69
Summer,2017,TIMOTHY FLAHERTY,MSC,21241,MATRC & LINR TRNSF,S,8,24,33%,14.63,4.75,4.63,4.63,4.50,4.63,5.00,4.75,4.63,4.75
Summer,2017,WEICHENG YE,MSC,21259,CALCULUS IN 3-D,S,13,21,62%,12.62,3.92,4.15,3.92,3.69,4.00,3.92,4.62,3.85,3.77
Summer,2017,HANIF CHEUNG,MSC,21259,CALCULUS IN 3-D,U,3,6,50%,18.33,4.00,3.33,3.33,3.00,4.33,2.67,4.33,3.00,3.00
Summer,2017,JING ZHANG,MSC,21260,DIFFRENTL EQUATIONS,S,11,34,32%,11.27,4.27,4.09,4.00,4.00,4.18,4.09,4.27,4.09,3.82
Summer,2017,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,S,1,2,50%,8.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,DAVID ANDERSON,PHY,33104,EXPERIMNTL PHYSICS,S,4,10,40%,11.75,4.75,4.75,4.75,4.75,5.00,5.00,5.00,5.00,4.75
Summer,2017,KUNAL GHOSH,PHY,33115,PHYC FTR PRESIDENTS,E,3,4,75%,17.33,4.67,4.33,4.33,4.33,5.00,4.33,4.67,4.33,4.33
Summer,2017,KUNAL GHOSH,PHY,33115,PHYC FTR PRESIDENTS,U,3,4,75%,11.00,4.33,3.33,3.33,3.33,4.33,3.67,4.33,3.67,3.33
Summer,2017,DIANE TURNSHEK,PHY,33124,INTRO TO ASTRONOMY,S,1,2,50%,11.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,DIANE TURNSHEK,PHY,33124,INTRO TO ASTRONOMY,U,4,4,100%,11.25,5.00,4.50,4.75,4.25,5.00,4.75,5.00,5.00,5.00
Summer,2017,KUNAL GHOSH,PHY,33141,PHY I ENG STUD,E,14,16,88%,20.00,4.50,4.14,4.07,3.29,4.14,4.15,4.57,4.14,4.00
Summer,2017,HAEL COLLINS,PHY,33141,PHY I ENG STUD,S,7,11,64%,21.14,4.86,5.00,4.71,4.86,5.00,4.86,5.00,4.71,4.86
Summer,2017,KUNAL GHOSH,PHY,33141,PHY I ENG STUD,U,3,4,75%,18.33,5.00,4.33,4.67,4.00,4.33,4.00,4.67,4.33,4.00
Summer,2017,KUNAL GHOSH,PHY,33142,PHY II ENG & PHY,S,27,30,90%,19.52,4.78,4.30,4.41,4.33,4.67,4.52,4.56,4.52,4.19
Summer,2017,GEORGE KLEIN,PHY,33142,PHY II ENG & PHY,U,10,13,77%,19.40,4.60,4.50,4.40,3.40,4.60,4.40,4.80,4.30,4.44
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Importance of subject,1 : Hrs Per Week 9,2: Explains subject matter,2 : Interest in student learning,3: Explain course requirements,4: Clear learning goals,4 : Show respect for students,5: Overall teaching,5 : Instructor provides Feedback to students,6: Overall course
,2017,,,,Year of 2017,,2712,4661,58%,4.26,8.99,4.23,4.4,4.29,4.28,4.52,4.17,4.04,4.09
Spring,2017,DANIEL BRASIER,BSC,03101,BSC FIRST YEAR SEMNR,A3,4,5,80%,4.50,3.50,4.25,4.50,4.25,4.25,4.50,4.50,4.50,4.25
Spring,2017,DANIEL BRASIER,BSC,03101,BSC FIRST YEAR SEMNR,A4,4,5,80%,4.75,3.50,4.75,4.75,4.75,4.75,4.75,4.50,4.75,4.50
Spring,2017,CHIEN HO,BSC,03101,BSC FIRST YEAR SEMNR,C4,5,5,100%,5.00,3.80,4.20,5.00,5.00,5.00,4.80,4.40,4.60,4.80
Spring,2017,VALENTIN ILYIN,BSC,03116,PHAGE GENOMICS RSRCH,W,7,8,88%,3.86,6.00,3.43,3.86,3.14,3.14,5.00,3.43,3.29,3.71
Spring,2017,NATALIE MCGUIER,BSC,03124,MODERN BIOLOGY LAB,1,9,14,64%,4.44,9.67,4.56,4.78,4.56,4.56,4.89,4.78,4.33,4.67
Spring,2017,DANIEL BRASIER,BSC,03161,MOLECULES TO MIND,A,85,91,93%,4.78,6.83,4.75,4.91,4.75,4.73,4.98,4.81,4.81,4.74
Spring,2017,ANNETTE VINCENT,BSC,03202,UNDGRAD COLLOQUM SOP,W,10,14,71%,4.70,2.00,4.90,4.90,5.00,5.00,5.00,4.80,4.80,4.60
Spring,2017,CONRAD ZAPANTA,BSC,03206,BIOMED ENG LAB,A,8,8,100%,5.00,8.38,4.88,4.88,5.00,5.00,5.00,5.00,4.88,4.88
Spring,2017,CONRAD ZAPANTA,BSC,03206,BIOMED ENG LAB,B,8,10,80%,4.63,9.13,4.88,5.00,4.63,4.63,4.88,4.75,4.63,4.75
Spring,2017,GORDON RULE,BSC,03232,BIOCHEMISTRY I,1,52,113,46%,4.82,9.15,4.78,4.88,4.73,4.73,4.96,4.71,4.69,4.57
Spring,2017,MOHAMED BOUAOUINA,BSC,03240,CELL BIOLOGY,W,11,15,73%,4.73,11.36,4.82,5.00,4.82,4.73,4.91,4.64,4.36,4.64
Spring,2017,ROBERT MURPHY,BSC,03252,INT CMPTNL CL BLGY,14,1,2,50%,3.00,11.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00
Spring,2017,CARRIE DOONAN,BSC,03344,EXPERMNTL BIOCHEMTRY,1,13,22,59%,4.46,18.62,4.46,4.54,3.92,4.38,4.46,3.92,4.15,4.00
Spring,2017,ANNETTE VINCENT,BSC,03344,EXPERMNTL BIOCHEMTRY,2,4,9,44%,5.00,17.25,5.00,5.00,4.00,4.25,5.00,4.75,3.75,4.50
Spring,2017,EMILY DRILL,BSC,03346,EXPER NEUROSCIENCE,1,6,16,38%,3.67,19.83,3.67,4.17,4.17,4.00,4.00,3.83,3.83,3.67
Spring,2017,CHARLES ETTENSOHN,BSC,03350,DEVELOPMNTL BIOLOGY,A,4,6,67%,4.75,9.50,4.75,4.75,4.25,4.75,4.75,4.75,4.75,4.75
Spring,2017,ANNETTE VINCENT,BSC,03355,STEM CELL ENGINEERNG,W,4,10,40%,5.00,8.75,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Spring,2017,ANDREAS PFENNING,BSC,03360,GENOM EPIGEN BRN,A,4,5,80%,3.00,9.50,3.00,3.00,1.75,2.00,4.00,2.50,2.00,2.50
Spring,2017,DANIEL BRASIER,BSC,03363,SYSTEMS NEUROSCIENCE,A,47,62,76%,4.80,7.41,4.80,4.94,4.80,4.78,4.98,4.80,4.85,4.72
Spring,2017,SANDRA KUHLMAN,BSC,03365,NEURAL CORR. LRN MEM,A,9,10,90%,4.78,5.38,4.33,4.44,4.00,3.89,4.67,3.78,3.22,3.89
Spring,2017,NATALIA HILLER,BSC,03391,MICROBIOLOGY,A,13,22,59%,4.77,5.92,4.62,4.85,4.62,4.62,5.00,4.62,4.69,4.54
Spring,2017,IHAB YOUNIS,BSC,03442,MOLECULAR BIOLOGY,W,7,10,70%,5.00,12.43,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.86
Spring,2017,CHARLES MCMANUS,BSC,03713,BIOINFMTCS DATA PRAC,A4,9,11,82%,4.44,8.00,4.78,4.89,4.56,4.67,4.89,4.78,4.44,4.33
Spring,2017,ANDREAS PFENNING,BSC,03760,ADV GENOM EPIGEN BRN,A,2,3,67%,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.50,5.00
Spring,2017,LEONARD VUOCOLO,CMY,09101,INTRO EXPERMNTL CHEM,14,10,25,40%,4.10,8.30,4.10,4.70,4.80,4.40,4.60,4.30,4.30,4.10
Spring,2017,RAVICHANDRA BACHU,CMY,09101,INTRO EXPERMNTL CHEM,24,19,20,95%,4.39,8.47,4.47,4.58,4.37,4.37,4.89,4.53,3.95,4.16
Spring,2017,LEONARD VUOCOLO,CMY,09105,INTRO MOD CHEMSTRY I,1,53,102,52%,3.75,10.23,3.68,3.81,4.25,4.23,3.87,3.51,3.60,3.43
Spring,2017,RAVICHANDRA BACHU,CMY,09106,MODERN CHEMISTRY II,W,19,22,86%,4.58,10.56,4.79,4.84,4.84,4.74,4.95,4.79,4.74,4.58
Spring,2017,SUSAN GRAUL,CMY,09208,TECHNIQUES FOR ORGAN,1,38,66,58%,4.45,11.35,4.71,4.63,4.39,4.45,4.87,4.58,4.11,4.32
