,course id,name,dept,year,semester,section,instructor,hrs,responses,date
1,70122,INTRO TO ACCOUNTING,BA,2017,Summer,U,PHONG TRUONG,11.38,8,2017-06
3,70311,ORGNZTN BEHAVIOR,BA,2017,Summer,S,JERRY GUO,10.7,10,2017-06
4,70371,OPERATIONS MGMT,BA,2017,Summer,S,SIDDHARTH SINGH,10.5,13,2017-06
5,70381,MARKETING I,BA,2017,Summer,S,JULIAN GIVI,9.36,11,2017-06
6,70100,GLOBAL BUSINESS,BA,2017,Spring,A,SHAM KEKRE,5.53,18,2017-01
7,70100,GLOBAL BUSINESS,BA,2017,Spring,B,SHAM KEKRE,4.83,19,2017-01
8,70110,BUSINESS COMPUTING,BA,2017,Spring,A,TRIDAS MUKHOPADHYAY,9.18,17,2017-01
9,70110,BUSINESS COMPUTING,BA,2017,Spring,B,TRIDAS MUKHOPADHYAY,7.23,26,2017-01
10,70110,BUSINESS COMPUTING,BA,2017,Spring,C,TRIDAS MUKHOPADHYAY,7.38,30,2017-01
11,70122,INTRO TO ACCOUNTING,BA,2017,Spring,1,TIMOTHY SHIELDS,7.14,14,2017-01
12,70122,INTRO TO ACCOUNTING,BA,2017,Spring,2,TIMOTHY SHIELDS,7.06,16,2017-01
13,70160,GRAPHIC MEDIA MGMT,BA,2017,Spring,A,ANTHONY STANTON,6.0,12,2017-01
14,70201,PROFSSNL & SRVC PROJ,BA,2017,Spring,A,MILTON COFIELD,3.56,28,2017-01
15,70207,PROB & STAT BUS APPL,BA,2017,Spring,A,OLGA CHILINA,7.7,32,2017-01
17,70208,REGRESSION ANALYSIS,BA,2017,Spring,X,JOHN GASPER,13.0,18,2017-01
18,70311,ORGNZTN BEHAVIOR,BA,2017,Spring,A,MARK FICHMAN,6.36,11,2017-01
19,70311,ORGNZTN BEHAVIOR,BA,2017,Spring,B,MARK FICHMAN,6.36,22,2017-01
20,70311,ORGNZTN BEHAVIOR,BA,2017,Spring,C,AMANDA PLUMMER WEIRUP,6.53,45,2017-01
23,70321,NEGOTIATN CNFLCT RES,BA,2017,Spring,A,YEONJEONG KIM,6.57,23,2017-01
25,70332,BUS SOCIETY & ETHICS,BA,2017,Spring,A,JOSEPH HORNACK,6.23,22,2017-01
26,70332,BUS SOCIETY & ETHICS,BA,2017,Spring,B,JOSEPH HORNACK,5.19,16,2017-01
28,70340,BUSINESS COMMUNCTNS,BA,2017,Spring,A,CLARA BURKE,6.07,14,2017-01
29,70340,BUSINESS COMMUNCTNS,BA,2017,Spring,B,CLARA BURKE,6.5,14,2017-01
30,70340,BUSINESS COMMUNCTNS,BA,2017,Spring,C,V.EMILY STARK,7.63,17,2017-01
31,70340,BUSINESS COMMUNCTNS,BA,2017,Spring,D,V.EMILY STARK,6.64,11,2017-01
33,70345,BUSINESS PRSNTATIONS,BA,2017,Spring,A,JULIA DEEMS,4.8,15,2017-01
34,70345,BUSINESS PRSNTATIONS,BA,2017,Spring,B,JULIA DEEMS,7.33,10,2017-01
35,70345,BUSINESS PRSNTATIONS,BA,2017,Spring,C,EVELYN PIERCE,6.15,13,2017-01
36,70345,BUSINESS PRSNTATIONS,BA,2017,Spring,D,CLARA BURKE,6.2,12,2017-01
38,70345,BUSINESS PRSNTATIONS,BA,2017,Spring,X,J MCGINNIS,9.36,11,2017-01
39,70350,BUSINESS ACTING,BA,2017,Spring,A,GEOFFREY HITCH,4.54,13,2017-01
41,70353,REGULATION FIN MKTS,BA,2017,Spring,A,CHESTER SPATT,5.5,7,2017-01
42,70364,BUSINESS LAW,BA,2017,Spring,A,JAMES ROBERTS,8.33,9,2017-01
43,70365,INT TRADE & INT LAW,BA,2017,Spring,A,CLIFFORD EARLY,7.67,10,2017-01
44,70366,INTEL PROPRTY & ECOM,BA,2017,Spring,A4,DAVID TUNGATE,4.65,18,2017-01
45,70371,OPERATIONS MGMT,BA,2017,Spring,A,MOHAMMAD DELASAY SORKHAB,7.5,31,2017-01
46,70371,OPERATIONS MGMT,BA,2017,Spring,B,MOHAMMAD DELASAY SORKHAB,6.76,42,2017-01
48,70374,DATA MINING BUS ANLY,BA,2017,Spring,A,DOKYUN LEE,6.83,37,2017-01
49,70381,MARKETING I,BA,2017,Spring,A,HUI LI,5.23,26,2017-01
50,70381,MARKETING I,BA,2017,Spring,B,HUI LI,4.59,30,2017-01
51,70381,MARKETING I,BA,2017,Spring,C,HUI LI,4.9,30,2017-01
53,70385,CONSUMER BEHAVIOR,BA,2017,Spring,A,CHRISTOPHER OLIVOLA,8.92,13,2017-01
54,70391,FINANCE,BA,2017,Spring,A,JAMES ALBERTUS,6.06,31,2017-01
55,70391,FINANCE,BA,2017,Spring,B,JAMES ALBERTUS,6.78,27,2017-01
56,70401,MANAGEMENT GAME,BA,2017,Spring,A,DAVID LAMONT,11.21,28,2017-01
58,70415,INTRO ENTREPRENRSHIP,BA,2017,Spring,A,KATHARINE ANDERSON,5.46,13,2017-01
59,70415,INTRO ENTREPRENRSHIP,BA,2017,Spring,B,KATHARINE ANDERSON,6.5,18,2017-01
60,70416,NEW VENTURE CREATION,BA,2017,Spring,A,DAVID MAWHINNEY,6.29,7,2017-01
62,70422,MANAGERIAL ACCOUNTNG,BA,2017,Spring,A,JACK STECHER,6.2,10,2017-01
63,70425,ENTRPRSHP CRTV INDSR,BA,2017,Spring,A,TIM CUNNINGHAM,5.0,9,2017-01
64,70427,MODERN BANKS,BA,2017,Spring,A,JINGHONG LIANG,9.58,13,2017-01
66,70430,INTERNATNL MGMNT,BA,2017,Spring,A,MILTON COFIELD,9.2,10,2017-01
67,70437,ORG LRNG & STRAT MGT,BA,2017,Spring,A,LINDA ARGOTE,5.0,14,2017-01
68,70440,CORPORATE STRATEGY,BA,2017,Spring,A,DAVID LAMONT,6.0,21,2017-01
70,70451,MANGEMNT INFRMT SYST,BA,2017,Spring,A,AJIT SHARMA,4.84,38,2017-01
72,70455,MODRN DATA MANGEMNT,BA,2017,Spring,A,WOLFGANG GATTERBAUER,8.43,31,2017-01
75,70471,SUPPLY CHAIN MGMT,BA,2017,Spring,A,JIAQI XU,6.33,9,2017-01
77,70480,INTERNTNL MARKETING,BA,2017,Spring,A,LLOYD CORDER,6.29,7,2017-01
79,70483,ADVRTS & MARKET COMM,BA,2017,Spring,A,MELISSA MURPHY,5.75,12,2017-01
80,70492,INVESTMENT ANALYSIS,BA,2017,Spring,A,ANISHA GHOSH,7.59,24,2017-01
81,70495,CORPORATE FINANCE,BA,2017,Spring,A,WILLIAM WALLER,11.76,26,2017-01
82,70495,CORPORATE FINANCE,BA,2017,Spring,B,WILLIAM WALLER,9.92,24,2017-01
85,46903,FINANCIAL CMPTNG III,IA,2017,Spring,I4,JOHN OSTLUND,8.29,39,2017-01
86,46903,FINANCIAL CMPTNG III,IA,2017,Spring,M4,JOHN OSTLUND,8.2,44,2017-01
87,46926,STA & MACHN LRNG I,IA,2017,Spring,I3,CHAD SCHAFER,10.32,40,2017-01
88,46926,STA & MACHN LRNG I,IA,2017,Spring,M3,CHAD SCHAFER,9.6,49,2017-01
89,46929,FIN TIME SERIES ANLY,IA,2017,Spring,I4,CHAD SCHAFER,7.16,38,2017-01
90,46929,FIN TIME SERIES ANLY,IA,2017,Spring,M4,CHAD SCHAFER,7.29,43,2017-01
91,46932,SIM METHD OPTN PRICE,IA,2017,Spring,I4,JOHN LEHOCZKY,13.57,38,2017-01
92,46932,SIM METHD OPTN PRICE,IA,2017,Spring,M4,JOHN LEHOCZKY,11.49,46,2017-01
93,46944,STOCHASTC CALC FIN I,IA,2017,Spring,H3,GAUTAM IYER,10.73,43,2017-01
94,46944,STOCHASTC CALC FIN I,IA,2017,Spring,M3,GAUTAM IYER,12.15,54,2017-01
95,46945,STOCHTC CALC FNC II,IA,2017,Spring,H4,STEVEN SHREVE,12.33,39,2017-01
96,46945,STOCHTC CALC FNC II,IA,2017,Spring,M4,STEVEN SHREVE,12.67,48,2017-01
97,46974,FIN PRDCTS & MRKTS,IA,2017,Spring,I3,RICK BRYANT,9.38,40,2017-01
98,46974,FIN PRDCTS & MRKTS,IA,2017,Spring,M3,RICK BRYANT,7.76,51,2017-01
99,46975,MACROECON COMP FIN,IA,2017,Spring,I3,ARIEL ZETLIN-JONES,8.81,37,2017-01
100,46975,MACROECON COMP FIN,IA,2017,Spring,M3,ARIEL ZETLIN-JONES,8.09,46,2017-01
101,70122,INTRO TO ACCOUNTING,BA,2017,Spring,3,"VARGO, S.  (co-taught)",7.61,43,2017-01
