Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course,                            ,                             ,                              ,                               ,                                ,                                 ,                                  ,                                   ,                                    
,2017,,,,Year of 2017,,47,133,35%,20.67,4.49,4.3,4.3,4.11,4.66,4.39,4.75,4.23,4.21,,,,,,,,,
Summer,2017,LORENZ BIEGLER,CHE,06995,INTERNSHP CHEM ENGRG,I,4,6,67%,23.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Summer,2017,DAVID LANDIS,CIT,39660,ESTP PROJECT,A,2,7,29%,27.00,4.00,4.00,4.00,3.50,4.00,4.00,4.00,4.00,4.00,,,,,,,,,
Summer,2017,THOMAS SULLIVAN,ECE,18100,INTRO ELEC COMP ENG,E,22,46,48%,24.33,4.45,4.09,4.09,3.77,4.73,4.19,4.82,3.82,3.91,,,,,,,,,
Summer,2017,BRIAN RAILING,ECE,18213,INTR CMPTR SYSTEMS,A,5,13,38%,20.60,4.20,4.00,4.00,4.00,4.00,4.00,4.40,4.00,4.00,,,,,,,,,
Summer,2017,DIANA MARCULESCU,ECE,18499,INTERNSHIP,A,2,44,5%,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Summer,2017,DIANA MARCULESCU,ECE,18990,READING & RESEARCH,U,2,4,50%,20.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,,,,,,,,,
Summer,2017,MICHAEL BOCKSTALLER,MSE,27052,INTR NANOSCI TECHNLY,E,8,11,73%,11.00,4.38,4.38,4.38,4.25,4.75,4.63,4.75,4.75,4.38,,,,,,,,,
Summer,2017,GREGORY ROHRER,MSE,27756,MASTERS PROJECT,A,2,2,100%,27.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course,,,,,,,,,
,2017,,,,Year of 2017,,4268,6204,69%,9.75,4.39,4.25,4.26,4.06,4.38,4.23,4.53,4.2,4.13,,,,,,,,,
Spring,2017,ITZHAQ COHEN-KARNI,BMD,42101,INTRODUCTION BIOMED,A,35,59,59%,9.00,3.34,2.94,3.09,2.69,3.51,2.89,3.89,2.80,2.59,,,,,,,,,
Spring,2017,YU-LI WANG,BMD,42201,PRO ISSUES IN BIOMED,A,27,48,56%,2.56,4.41,4.27,4.30,3.70,4.30,4.26,4.74,4.22,4.00,,,,,,,,,
Spring,2017,PHIL CAMPBELL,BMD,42202,PHYSIOLOGY,A,50,83,60%,7.82,4.52,4.62,4.68,3.90,4.74,4.46,4.74,4.46,4.48,,,,,,,,,
Spring,2017,CONRAD ZAPANTA,BMD,42203,BIOMED ENG LAB,A,8,10,80%,9.13,4.88,4.75,4.88,4.63,4.75,4.75,4.88,4.88,4.75,,,,,,,,,
Spring,2017,CONRAD ZAPANTA,BMD,42203,BIOMED ENG LAB,B,4,6,67%,6.50,5.00,4.50,4.75,4.00,4.25,4.00,4.75,4.00,4.25,,,,,,,,,
Spring,2017,JANA KAINERSTORFER,BMD,42302,BIOMED EN SY MD ANLY,A,2,3,67%,8.00,4.50,4.50,4.00,4.00,4.00,3.50,4.50,4.00,4.00,,,,,,,,,
Spring,2017,CONRAD ZAPANTA,BMD,42402,BME DESIGN PROJECT,A,33,67,49%,7.45,4.70,4.61,4.55,4.48,4.42,4.39,4.85,4.67,4.36,,,,,,,,,
Spring,2017,BOYLE CHENG,BMD,42444,MEDICAL DEVICES,A,3,10,30%,9.00,5.00,4.33,4.67,4.67,4.67,4.67,4.67,4.67,4.67,,,,,,,,,
Spring,2017,ADAM FEINBERG,BMD,42612,TISSUE ENG,A,5,15,33%,11.60,4.40,4.60,4.40,2.60,4.40,4.60,4.60,4.40,4.25,,,,,,,,,
Spring,2017,CHRISTOPHER BETTINGER,BMD,42613,MOL POLY BIOMAT,A,8,9,89%,9.63,4.38,4.00,4.38,4.13,4.50,4.13,4.63,4.25,4.13,,,,,,,,,
Spring,2017,ROBERT TILTON,BMD,42624,BIOLGL TRNSP DRG DLV,A,11,21,52%,9.36,4.36,4.36,4.27,4.18,4.73,4.45,4.91,4.55,4.09,,,,,,,,,
Spring,2017,LINDA MOYA,BMD,42630,INTRO NEURO ENG,A,5,7,71%,8.75,5.00,3.75,4.25,3.25,4.50,4.25,4.75,3.75,4.00,,,,,,,,,
Spring,2017,BYRON YU,BMD,42632,NEURAL SIGNAL PROC,A,10,14,71%,14.30,4.80,4.80,4.70,4.10,5.00,4.90,4.80,5.00,4.90,,,,,,,,,
Spring,2017,KRIS DAHL,BMD,42646,MOLECULAR BIOMCHNCS,A,13,24,54%,7.50,4.23,3.54,3.54,3.46,4.15,4.00,4.23,3.83,3.67,,,,,,,,,
Spring,2017,KEITH COOK,BMD,42648,CARDIO MECH,A,7,9,78%,10.71,4.57,4.71,4.86,4.29,4.57,4.71,4.43,4.43,4.57,,,,,,,,,
Spring,2017,HOWARD EDINGTON,BMD,42661,SURG FOR ENG,A,39,84,46%,4.68,4.74,4.62,4.64,4.28,4.74,4.59,4.79,4.59,4.56,,,,,,,,,
