Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2017,,,,Year of 2017,,69,139,50%,16.49,4.71,4.48,4.64,4.46,4.67,4.56,4.78,4.57,4.72
Summer,2017,LISA WOLFF,ARC,48000,PRE COLLEGE PROGRAM,E,22,39,56%,25.67,4.33,3.90,4.14,3.90,4.29,4.10,4.57,4.14,4.67
Summer,2017,"LOFTNESS, V.  (co-taught)",ARC,48732,SUSTAIN DSGN SYNTHES,A,3,4,75%,21.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,"COCHRAN, E.  (co-taught)",ARC,48732,SUSTAIN DSGN SYNTHES,A,3,4,75%,14.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,"ABDUL-AZIZ, A.  (co-taught)",ARC,48732,SUSTAIN DSGN SYNTHES,A,3,4,75%,14.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,"FICCA, J.  (co-taught)",CFA,62049,UNQ DUTCH,A,4,18,22%,27.00,5.00,4.75,4.75,4.50,5.00,5.00,5.00,5.00,4.75
Summer,2017,"GUTSCHOW, K.  (co-taught)",CFA,62049,UNQ DUTCH,A,4,18,22%,27.00,5.00,4.75,4.75,4.75,5.00,4.75,4.75,4.75,4.75
Summer,2017,CHARLEE BRODSKY,DES,51397,PHOTO INDEPN STUDY,U,1,2,50%,17.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,MELISSA CICOZI,DES,51470,DESIGN PRACTICUM,A,1,7,14%,27.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,MARK DOMENCIC,MUS,57149,BASIC HARMONY I,S,2,3,67%,9.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,PAUL JOHNSTON,MUS,57173,SURVEY WEST MUS HIST,S,5,10,50%,5.60,4.80,5.00,5.00,4.60,4.80,5.00,5.00,4.80,4.40
Summer,2017,PAUL JOHNSTON,MUS,57188,REPERTOIRE & LISTEN,S,4,8,50%,2.75,5.00,4.75,5.00,4.50,4.75,4.75,5.00,5.00,4.75
Summer,2017,"SCHULZ, R.  (co-taught)",MUS,57341,SOUND RECORDING WRKS,E,5,6,83%,5.00,4.60,4.00,4.50,4.50,4.75,4.00,4.25,4.00,4.25
Summer,2017,"SULLIVAN, T.  (co-taught)",MUS,57341,SOUND RECORDING WRKS,E,5,6,83%,5.00,4.50,4.50,4.75,4.50,4.25,4.50,4.75,4.50,4.75
Summer,2017,"SCHULZ, R.  (co-taught)",MUS,57341,SOUND RECORDING WRKS,U,3,4,75%,10.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,"SULLIVAN, T.  (co-taught)",MUS,57341,SOUND RECORDING WRKS,U,3,4,75%,8.00,5.00,4.67,5.00,4.67,5.00,4.67,5.00,4.67,4.67
Summer,2017,RICCARDO SCHULZ,MUS,57342,SOUND RECORDING WRKS,U,1,2,50%,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,,,,,,,,,,
,2017,,,,Year of 2017,,3,7,43%,,,,,,,,,,
Spring,2017,SHARON JOHNSTON,MUS,57611,INDEP STDY IN HISTRY,J,1,2,50%,,,,,,,,,,
Spring,2017,THOMAS DOUGLAS,MUS,57772,PROD: PERFORMANCE,A,1,3,33%,,,,,,,,,,
Spring,2017,THOMAS DOUGLAS,MUS,57772,PROD: PERFORMANCE,B,1,2,50%,,,,,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,,,,,,
,2017,,,,Year of 2017,,1,6,17%,27,5,5,5,,,,,,
Spring,2017,CYNTHIA DEALMEIDA,MUS,57021,OBOE PERF CLASS,A,1,6,17%,27.00,5.00,5.00,5.00,,,,,,
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course,
,2017,,,,Year of 2017,,7,25,28%,4.71,4.43,4.43,4.71,4.71,4.71,4.71,4.71,4.71,
Spring,2017,MELISSA MARTIN,DRA,54788,GRAD SCREENWRTG II,A,2,6,33%,5.00,5.00,4.50,5.00,5.00,5.00,5.00,5.00,5.00,
