Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2017,,,,Year of 2017,,302,429,70%,12.21,4.7,4.59,4.59,4.51,4.62,4.51,4.79,4.52,4.53
Summer,2017,HAKKI OZDENOREN,ECO,73100,PRINC OF ECONOMICS,E,18,20,90%,11.29,4.33,4.00,4.28,4.06,4.56,4.44,4.50,3.89,3.94
Summer,2017,HAKKI OZDENOREN,ECO,73100,PRINC OF ECONOMICS,U,12,13,92%,14.50,4.17,4.00,4.17,3.17,4.50,3.83,4.25,3.92,4.00
Summer,2017,RYAN MITCHELL,ENG,76101,INTERPRETN & ARGMNT,E,5,5,100%,18.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,CRAIG STAMM,ENG,76101,INTERPRETN & ARGMNT,F,9,9,100%,13.33,4.67,4.67,4.78,4.56,4.44,4.56,4.89,4.44,4.56
Summer,2017,MATTHEW LAMBERT,ENG,76101,INTERPRETN & ARGMNT,S,4,6,67%,13.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,KATHARINE SHROPSHIRE,ENG,76101,INTERPRETN & ARGMNT,T,2,5,40%,22.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,RYAN MITCHELL,ENG,76101,INTERPRETN & ARGMNT,U,1,2,50%,11.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,CRAIG STAMM,ENG,76101,INTERPRETN & ARGMNT,V,2,2,100%,9.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.50,4.50
Summer,2017,MATTHEW NELSON,ENG,76221,BOOKS READ BY NOW,E,2,2,100%,8.00,5.00,5.00,4.50,4.50,5.00,4.00,5.00,5.00,5.00
Summer,2017,MATTHEW NELSON,ENG,76221,BOOKS READ BY NOW,U,2,4,50%,16.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,NATALIE SUZELIS,ENG,76241,GENDER STUDIES,S,5,8,63%,10.40,5.00,4.80,4.60,4.80,5.00,5.00,5.00,5.00,4.80
Summer,2017,ANDREW GORDON,ENG,76270,WRITNG FOR PROFESSNS,U,7,8,88%,11.00,5.00,5.00,5.00,4.86,4.86,5.00,5.00,5.00,4.86
Summer,2017,SHAWN ALFONSO-WELLS,HIS,79201,INTRO ANTHROPOLOGY,E,2,3,67%,6.50,4.50,4.50,5.00,5.00,4.00,5.00,5.00,4.50,4.50
Summer,2017,SHAWN ALFONSO-WELLS,HIS,79201,INTRO ANTHROPOLOGY,U,3,9,33%,8.00,5.00,4.67,4.67,4.33,5.00,5.00,5.00,5.00,5.00
