Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2017,,,,Year of 2017,,637,1461,44%,21,4.45,4.34,4.37,4.26,4.42,4.33,4.57,4.33,4.27
Summer,2017,NORMAN BIER,CS,15110,PRINCPLS OF COMPUTNG,E,21,38,55%,19.10,4.52,4.48,4.62,4.29,4.67,4.43,4.86,4.57,4.48
Summer,2017,NORMAN BIER,CS,15110,PRINCPLS OF COMPUTNG,U,2,15,13%,11.00,4.50,5.00,5.00,5.00,4.00,4.50,5.00,4.50,4.50
Summer,2017,PAUL DAVIS,CS,15112,FNDMTLS OF PGMG & CS,E,55,58,95%,23.30,4.40,4.49,4.49,4.09,4.42,4.51,4.66,4.33,4.42
Summer,2017,RUDINA MORINA,CS,15112,FNDMTLS OF PGMG & CS,S,45,52,87%,23.28,4.44,4.44,4.51,4.20,4.56,4.50,4.56,4.38,4.42
Summer,2017,HANNAH GOMMERSTADT,CS,15122,PRIN IMPRTV COMPTATN,E,18,20,90%,22.28,4.71,4.65,4.65,4.47,4.76,4.76,4.94,4.65,4.65
Summer,2017,HANNAH GOMMERSTADT,CS,15122,PRIN IMPRTV COMPTATN,U,26,38,68%,21.12,4.58,4.54,4.50,4.58,4.62,4.54,4.69,4.38,4.12
Summer,2017,ZELIHA DILSUN KAYNAR,CS,15150,PRIN FNCTIONL PRGMMG,S,25,57,44%,21.32,4.88,4.60,4.60,4.63,4.68,4.56,4.88,4.68,4.67
Summer,2017,CLIVE NEWSTEAD,CS,15151,MATH FOUNDATIONS CS,N,23,28,82%,21.52,4.91,4.78,4.83,4.39,4.48,4.65,4.91,4.74,4.26
Summer,2017,BRIAN RAILING,CS,15213,INTR CMPUTER SYSTEMS,A,11,33,33%,17.45,4.73,4.73,4.73,4.45,4.73,4.45,4.64,4.36,4.64
Summer,2017,BRIAN RAILING,CS,15513,INTRO COMPUTER SYSTM,A,76,193,39%,20.33,4.53,4.65,4.65,4.36,4.60,4.53,4.65,4.59,4.76
Summer,2017,GERARD KLUG,ETC,53000,PRE-COLLEGE GAME,E,33,70,47%,23.18,4.64,4.30,4.45,4.58,4.64,4.42,4.70,4.48,4.58
Summer,2017,"BERNTSEN, K.  (co-taught)",HCI,05672,HCI PROJECT II,A,19,55,35%,26.08,4.77,4.58,4.42,4.75,4.75,4.50,4.83,4.75,3.67
Summer,2017,"GEMPERLE, F.  (co-taught)",HCI,05672,HCI PROJECT II,A,19,55,35%,25.64,3.91,3.55,3.45,3.73,3.73,3.73,3.73,3.73,3.36
Summer,2017,"DUAN, N.  (co-taught)",HCI,05672,HCI PROJECT II,A,19,55,35%,23.00,4.25,4.13,4.25,4.25,4.38,4.38,4.38,4.25,4.13
Summer,2017,"KULKARNI, C.  (co-taught)",HCI,05672,HCI PROJECT II,A,19,55,35%,26.25,4.50,4.25,4.13,4.38,4.38,4.50,4.63,4.63,3.75
Summer,2017,"WAHILA, D.  (co-taught)",HCI,05672,HCI PROJECT II,A,19,55,35%,24.63,4.38,4.38,4.00,4.25,4.38,4.13,4.50,4.38,3.88
Summer,2017,"MARTINELLI, D.  (co-taught)",HCI,05672,HCI PROJECT II,A,19,55,35%,25.10,3.50,3.22,3.20,3.40,3.50,3.40,4.10,3.40,3.60
Summer,2017,"SHELLY, M.  (co-taught)",HCI,05672,HCI PROJECT II,A,19,55,35%,25.91,4.27,3.36,3.73,3.45,3.45,3.18,3.64,3.27,3.82
Summer,2017,MICHAEL BETT,HCI,05680,IND STUDY HCI METALS,A,1,3,33%,11.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,"STAMPER, J.  (co-taught)",HCI,05682,METALS PROJECT 2,A,2,12,17%,27.00,2.50,3.00,2.50,3.00,3.00,2.00,3.00,2.50,2.50
Summer,2017,"MCLAREN, B.  (co-taught)",HCI,05682,METALS PROJECT 2,A,2,12,17%,27.00,4.00,3.50,3.00,3.50,3.00,3.00,4.00,3.50,2.50
Summer,2017,BRENDA HARGER,HCI,05898,SPECIAL TOPICS,S,4,12,33%,6.50,5.00,5.00,5.00,5.00,5.00,4.75,5.00,4.75,4.75
Summer,2017,"HUDSON, S.  (co-taught)",HCI,05988,INTERNSHIP,I,2,13,15%,27.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,"KRAVITZ, S.  (co-taught)",HCI,05988,INTERNSHIP,I,2,13,15%,27.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Summer,2017,TRAVIS BREAUX,ISR,08709,PRIVACY TECHNOLOGY,A5,4,14,29%,15.75,4.75,4.75,4.75,4.75,4.50,4.75,4.75,4.75,4.50
