Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2017,,,,Year of 2017,,50,62,81%,10.35,4.66,4.73,4.76,4.58,4.66,4.66,4.88,4.6,4.48
Summer,2017,PHONG TRUONG,BA,70122,INTRO TO ACCOUNTING,E,3,3,100%,13.33,5.00,4.33,5.00,5.00,5.00,4.67,4.67,4.67,5.00
Summer,2017,PHONG TRUONG,BA,70122,INTRO TO ACCOUNTING,U,8,14,57%,11.38,4.75,5.00,5.00,4.88,4.88,4.88,4.88,4.88,4.63
Summer,2017,KOLE REDDIG,BA,70208,REGRESSION ANALYSIS,U,5,5,100%,8.00,4.80,5.00,5.00,4.60,4.80,4.80,4.80,4.80,4.40
Summer,2017,JERRY GUO,BA,70311,ORGNZTN BEHAVIOR,S,10,15,67%,10.70,5.00,5.00,5.00,4.60,4.90,4.90,5.00,4.80,4.70
Summer,2017,SIDDHARTH SINGH,BA,70371,OPERATIONS MGMT,S,13,13,100%,10.50,4.69,4.46,4.46,4.46,4.62,4.62,4.92,4.46,4.38
Summer,2017,JULIAN GIVI,BA,70381,MARKETING I,S,11,12,92%,9.36,4.09,4.60,4.55,4.36,4.18,4.27,4.82,4.27,4.18
Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
,2017,,,,Year of 2017,,2047,3342,61%,8.11,4.48,4.38,4.41,4.22,4.45,4.38,4.63,4.32,4.26
Spring,2017,SHAM KEKRE,BA,70100,GLOBAL BUSINESS,A,18,52,35%,5.53,4.61,3.83,3.78,3.33,4.06,3.67,4.78,3.56,3.67
Spring,2017,SHAM KEKRE,BA,70100,GLOBAL BUSINESS,B,19,52,37%,4.83,4.47,3.37,3.63,3.21,4.00,3.53,4.47,3.47,3.47
Spring,2017,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,A,17,51,33%,9.18,3.65,3.59,3.53,3.24,3.41,3.24,4.06,3.18,3.18
Spring,2017,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,B,26,55,47%,7.23,3.62,3.27,3.19,3.27,3.85,3.38,4.19,3.16,3.35
Spring,2017,TRIDAS MUKHOPADHYAY,BA,70110,BUSINESS COMPUTING,C,30,58,52%,7.38,3.57,3.37,3.57,3.00,3.48,3.24,3.73,3.17,3.03
Spring,2017,TIMOTHY SHIELDS,BA,70122,INTRO TO ACCOUNTING,1,14,33,42%,7.14,3.57,3.64,3.71,3.21,3.64,3.57,3.29,3.29,3.29
Spring,2017,TIMOTHY SHIELDS,BA,70122,INTRO TO ACCOUNTING,2,16,30,53%,7.06,3.50,3.69,3.63,3.13,3.50,3.50,2.93,3.27,3.19
Spring,2017,ANTHONY STANTON,BA,70160,GRAPHIC MEDIA MGMT,A,12,44,27%,6.00,4.67,4.50,4.25,4.17,4.17,4.42,4.67,4.25,4.25
Spring,2017,MILTON COFIELD,BA,70201,PROFSSNL & SRVC PROJ,A,28,80,35%,3.56,3.57,3.64,3.68,3.43,3.64,3.61,3.79,3.50,3.50
Spring,2017,OLGA CHILINA,BA,70207,PROB & STAT BUS APPL,A,32,90,36%,7.70,4.25,4.26,4.41,4.23,4.19,4.44,4.71,4.29,4.31
Spring,2017,JOHN GASPER,BA,70208,REGRESSION ANALYSIS,W,18,18,100%,11.69,3.89,4.06,4.06,3.28,4.17,4.06,4.61,3.89,3.89
Spring,2017,JOHN GASPER,BA,70208,REGRESSION ANALYSIS,X,18,20,90%,13.00,4.56,4.61,4.72,4.22,4.89,4.67,4.89,4.56,4.39
Spring,2017,MARK FICHMAN,BA,70311,ORGNZTN BEHAVIOR,A,11,35,31%,6.36,4.27,4.55,4.27,3.82,4.82,4.36,4.36,4.09,4.09
Spring,2017,MARK FICHMAN,BA,70311,ORGNZTN BEHAVIOR,B,22,46,48%,6.36,4.18,4.14,3.91,3.68,4.05,4.09,3.91,3.86,3.68
Spring,2017,AMANDA PLUMMER WEIRUP,BA,70311,ORGNZTN BEHAVIOR,C,45,61,74%,6.53,4.87,4.84,4.82,4.58,4.68,4.67,4.51,4.56,4.47
Spring,2017,NAZLI TURAN,BA,70311,ORGNZTN BEHAVIOR,W,16,23,70%,10.56,5.00,4.94,4.88,4.94,4.88,4.94,5.00,5.00,4.94
Spring,2017,NAZLI TURAN,BA,70318,MNG EFF WRK TEAMS,W,15,24,63%,7.60,5.00,5.00,5.00,5.00,4.93,4.93,5.00,5.00,5.00
Spring,2017,YEONJEONG KIM,BA,70321,NEGOTIATN CNFLCT RES,A,23,28,82%,6.57,4.83,4.39,4.78,4.22,4.87,4.78,4.87,4.65,4.70
Spring,2017,DAVID GRAY,BA,70321,NEGOTIATN CNFLCT RES,W,7,8,88%,14.40,4.50,5.00,4.83,4.33,4.83,4.83,4.33,4.67,4.83
Spring,2017,JOSEPH HORNACK,BA,70332,BUS SOCIETY & ETHICS,A,22,41,54%,6.23,4.50,4.50,4.45,4.18,4.45,4.32,4.82,4.27,4.36
Spring,2017,JOSEPH HORNACK,BA,70332,BUS SOCIETY & ETHICS,B,16,37,43%,5.19,4.06,4.13,4.19,3.50,4.25,4.38,4.75,4.06,4.00
Spring,2017,JOHN HOOKER,BA,70332,BUS SOCIETY & ETHICS,W,21,30,70%,6.83,4.76,4.86,4.86,4.62,4.81,4.76,5.00,4.81,4.67
Spring,2017,CLARA BURKE,BA,70340,BUSINESS COMMUNCTNS,A,14,20,70%,6.07,4.50,4.14,4.29,4.07,4.29,4.29,4.57,4.21,3.79
Spring,2017,CLARA BURKE,BA,70340,BUSINESS COMMUNCTNS,B,14,24,58%,6.50,4.57,4.36,4.50,4.43,4.38,4.21,4.57,4.21,3.93
Spring,2017,V.EMILY STARK,BA,70340,BUSINESS COMMUNCTNS,C,17,23,74%,7.63,4.94,4.65,4.94,4.94,4.94,4.94,4.94,4.88,4.71
Spring,2017,V.EMILY STARK,BA,70340,BUSINESS COMMUNCTNS,D,11,23,48%,6.64,4.91,4.73,4.82,4.64,4.82,4.73,4.91,4.73,4.55
Spring,2017,JOHN HOOKER,BA,70342,MANAGE ACRSS CLTURES,W,15,24,63%,6.00,4.47,4.73,4.73,4.07,4.40,4.53,4.80,4.53,4.53
Spring,2017,JULIA DEEMS,BA,70345,BUSINESS PRSNTATIONS,A,15,20,75%,4.80,4.93,4.93,4.87,4.93,4.80,4.87,4.93,5.00,5.00
Spring,2017,JULIA DEEMS,BA,70345,BUSINESS PRSNTATIONS,B,10,18,56%,7.33,5.00,4.90,5.00,5.00,4.90,5.00,5.00,5.00,5.00
Spring,2017,EVELYN PIERCE,BA,70345,BUSINESS PRSNTATIONS,C,13,21,62%,6.15,5.00,4.77,4.92,5.00,5.00,4.92,5.00,4.92,4.92
Spring,2017,CLARA BURKE,BA,70345,BUSINESS PRSNTATIONS,D,12,13,92%,6.20,4.75,4.58,4.83,4.83,4.83,4.92,4.75,4.67,4.58
Spring,2017,J MCGINNIS,BA,70345,BUSINESS PRSNTATIONS,W,5,16,31%,13.50,4.60,4.60,4.60,4.40,4.40,4.20,4.25,4.20,4.60
Spring,2017,J MCGINNIS,BA,70345,BUSINESS PRSNTATIONS,X,11,20,55%,9.36,4.36,4.00,4.36,4.45,4.50,4.36,3.91,4.36,4.36
Spring,2017,GEOFFREY HITCH,BA,70350,BUSINESS ACTING,A,13,17,76%,4.54,4.85,4.46,4.69,5.00,4.85,4.85,4.54,4.77,4.77
Spring,2017,GEOFFREY HITCH,BA,70352,BUSINESS ACTING,W4,4,10,40%,7.25,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Spring,2017,CHESTER SPATT,BA,70353,REGULATION FIN MKTS,A,7,13,54%,5.50,3.29,2.86,3.29,3.14,4.00,3.29,4.43,3.14,3.00
Spring,2017,JAMES ROBERTS,BA,70364,BUSINESS LAW,A,9,15,60%,8.33,4.22,3.33,4.33,3.44,4.44,4.44,4.56,4.11,4.33
Spring,2017,CLIFFORD EARLY,BA,70365,INT TRADE & INT LAW,A,10,26,38%,7.67,3.90,3.10,3.50,3.30,3.50,3.60,3.60,3.50,3.40
Spring,2017,DAVID TUNGATE,BA,70366,INTEL PROPRTY & ECOM,A4,18,51,35%,4.65,4.11,4.22,4.11,3.78,4.44,4.33,4.44,4.06,4.00
Spring,2017,MOHAMMAD DELASAY SORKHAB,BA,70371,OPERATIONS MGMT,A,31,55,56%,7.50,4.32,4.37,4.20,3.80,4.23,4.30,4.63,4.14,4.10
Spring,2017,MOHAMMAD DELASAY SORKHAB,BA,70371,OPERATIONS MGMT,B,42,68,62%,6.76,4.67,4.62,4.67,4.38,4.62,4.57,4.90,4.64,4.55
Spring,2017,MUSTAFA AKAN,BA,70371,OPERATIONS MGMT,W,23,36,64%,9.22,3.91,3.91,4.09,3.52,3.96,3.87,4.78,3.61,3.83
Spring,2017,DOKYUN LEE,BA,70374,DATA MINING BUS ANLY,A,37,44,84%,6.83,4.32,3.97,4.11,3.64,4.51,4.08,4.43,4.11,3.97
Spring,2017,HUI LI,BA,70381,MARKETING I,A,26,55,47%,5.23,4.62,4.50,4.54,4.12,4.54,4.46,4.73,4.27,4.27
Spring,2017,HUI LI,BA,70381,MARKETING I,B,30,61,49%,4.59,4.60,4.73,4.70,4.27,4.69,4.59,4.87,4.57,4.43
Spring,2017,HUI LI,BA,70381,MARKETING I,C,30,57,53%,4.90,4.60,4.47,4.53,4.10,4.40,4.37,4.80,4.23,4.23
Spring,2017,SRINIVASA PRAKHYA,BA,70381,MARKETING I,W,8,16,50%,7.50,4.13,3.75,4.00,3.88,4.13,3.88,4.38,3.88,3.75
Spring,2017,CHRISTOPHER OLIVOLA,BA,70385,CONSUMER BEHAVIOR,A,13,19,68%,8.92,4.00,3.92,4.08,3.62,4.08,4.15,3.31,3.69,3.62
Spring,2017,JAMES ALBERTUS,BA,70391,FINANCE,A,31,61,51%,6.06,4.77,4.68,4.61,4.32,4.61,4.58,4.81,4.55,4.42
Spring,2017,JAMES ALBERTUS,BA,70391,FINANCE,B,27,55,49%,6.78,4.89,4.78,4.74,4.37,4.74,4.78,4.85,4.74,4.56
Spring,2017,DAVID LAMONT,BA,70401,MANAGEMENT GAME,A,28,58,48%,11.21,4.36,4.39,4.39,4.18,4.54,4.21,4.39,4.29,4.36
Spring,2017,STEPHEN VARGO,BA,70401,MANAGEMENT GAME,W,24,43,56%,11.96,4.88,4.75,4.67,4.88,4.79,4.79,5.00,4.75,4.63
Spring,2017,KATHARINE ANDERSON,BA,70415,INTRO ENTREPRENRSHIP,A,13,30,43%,5.46,3.77,3.77,3.46,3.69,3.38,3.23,4.08,2.92,3.08
Spring,2017,KATHARINE ANDERSON,BA,70415,INTRO ENTREPRENRSHIP,B,18,36,50%,6.50,4.28,4.17,4.17,4.33,4.28,4.22,4.56,4.06,4.11
Spring,2017,DAVID MAWHINNEY,BA,70416,NEW VENTURE CREATION,A,7,23,30%,6.29,5.00,4.29,5.00,4.43,5.00,5.00,4.57,4.71,4.57
Spring,2017,GEORGE WHITE,BA,70416,NEW VENTURE CREATION,W,10,15,67%,7.40,4.90,5.00,5.00,5.00,4.90,5.00,5.00,5.00,5.00
